Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:46Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:46Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:47Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:47Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:48Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:48Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:49Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:49Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:49Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:50Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:49Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:50Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:51Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:51Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:52Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:52Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:53Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:53Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:54Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:54Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:55Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:55Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:56Z , 0.0 , -0.91796875 , -0.26953125  , -1.0 , 0.61640625 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:56Z , 0.0 , -0.91796875 , -0.26953125  , -0.8 , 0.30953125000000004 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:57Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:57Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:58Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:58Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:58Z , 0.0078125 , -0.91796875 , -0.2890625  , -0.9921875 , 0.61640625 , -1.2890625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:58Z , 0.0078125 , -0.91796875 , -0.2890625  , -0.7937500000000001 , 0.30953125000000004 , -1.03125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:59Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:00Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:51:59Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:00Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:01Z , 0.0078125 , -0.91796875 , -0.26953125  , -0.9921875 , 0.61640625 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:01Z , 0.0078125 , -0.91796875 , -0.26953125  , -0.7937500000000001 , 0.30953125000000004 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:02Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:02Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:03Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:03Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:04Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:04Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:05Z , 0.0 , -0.9296875 , -0.26953125  , -1.0 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:05Z , 0.0 , -0.9296875 , -0.26953125  , -0.8 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:06Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:06Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:07Z , 0.0 , -0.9296875 , -0.26953125  , -1.0 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:07Z , 0.0 , -0.9296875 , -0.26953125  , -0.8 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:07Z , 0.0078125 , -0.91796875 , -0.26953125  , -0.9921875 , 0.61640625 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:07Z , 0.0078125 , -0.91796875 , -0.26953125  , -0.7937500000000001 , 0.30953125000000004 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:08Z , 0.0 , -0.9296875 , -0.26953125  , -1.0 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:09Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:08Z , 0.0 , -0.9296875 , -0.26953125  , -0.8 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:09Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:10Z , 0.0 , -0.9296875 , -0.2890625  , -1.0 , 0.6140625000000001 , -1.2890625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:10Z , 0.0 , -0.9296875 , -0.2890625  , -0.8 , 0.3053125000000001 , -1.03125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:11Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:11Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:12Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.9921875 , 0.6140625000000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:12Z , 0.0078125 , -0.9296875 , -0.26953125  , -0.7937500000000001 , 0.3053125000000001 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:13Z , 0.0 , -0.91796875 , -0.26953125  , -1.0 , 0.61640625 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-07T21:52:13Z , 0.0 , -0.91796875 , -0.26953125  , -0.8 , 0.30953125000000004 , -1.015625
